EVENT_DATA_MEM_REFS              0x43
UMASK_DATA_MEM_REFS              0x00

EVENT_DCU_LINES_IN               0x45
UMASK_DCU_LINES_IN               0x00

EVENT_DCU_M_LINES_IN             0x46
UMASK_DCU_M_LINES_IN             0x00

EVENT_DCU_M_LINES_OUT            0x47
UMASK_DCU_M_LINES_OUT            0x00

EVENT_DCU_MISS_OUTSTANDING       0x48
UMASK_DCU_MISS_OUTSTANDING       0x00

EVENT_EMON_EST_TRANS       0x58
UMASK_EMON_EST_TRANS       0x00

EVENT_BR_INST_EXEC         0x88
UMASK_BR_INST_EXEC       0x00

EVENT_BR_MISSP_EXEC         0x89
UMASK_BR_MISSP_EXEC       0x00

EVENT_BR_BAC_MISSP_EXEC         0x8A
UMASK_BR_BAC_MISSP_EXEC       0x00

EVENT_BR_CND_EXEC         0x8B
UMASK_BR_CND_EXEC       0x00

EVENT_BR_CND_MISSP_EXEC         0x8C
UMASK_BR_CND_MISSP_EXEC       0x00

EVENT_BR_IND_EXEC         0x8D
UMASK_BR_IND_EXEC       0x00

EVENT_BR_IND_MISSP_EXEC         0x8E
UMASK_BR_IND_MISSP_EXEC       0x00

EVENT_BR_RET_EXEC         0x8F
UMASK_BR_RET_EXEC       0x00

EVENT_BR_RET_MISSP_EXEC         0x90
UMASK_BR_RET_MISSP_EXEC       0x00

EVENT_BR_RET_BAC_MISSP_EXEC         0x91
UMASK_BR_RET_BAC_MISSP_EXEC       0x00

EVENT_BR_CALL_EXEC         0x92
UMASK_BR_CALL_EXEC       0x00

EVENT_BR_CALL_MISSP_EXEC         0x93
UMASK_BR_CALL_MISSP_EXEC       0x00

EVENT_BR_IND_CALL_EXEC         0x94
UMASK_BR_IND_CALL_EXEC       0x00

EVENT_IFU_IFETCH                 0x80
UMASK_IFU_IFETCH                 0x00

EVENT_IFU_IFETCH_MISS            0x81
UMASK_IFU_IFETCH_MISS            0x00

EVENT_ITLB_MISS                  0x85
UMASK_ITLB_MISS                  0x00

EVENT_IFU_MEM_STALL              0x86
UMASK_IFU_MEM_STALL              0x00

EVENT_ILD_STALL                  0x87
UMASK_ILD_STALL                  0x00

EVENT_L2_IFETCH                  0x28
UMASK_L2_IFETCH                  0x0F

EVENT_L2_LD                      0x29
UMASK_L2_LD_I_EXCLUDE_PRE      0x01
UMASK_L2_LD_S_EXCLUDE_PRE      0x02
UMASK_L2_LD_E_EXCLUDE_PRE      0x04
UMASK_L2_LD_M_EXCLUDE_PRE      0x08
UMASK_L2_LD_ALL_EXCLUDE_PRE      0x0F
UMASK_L2_LD_I_PRE_ONLY          0x11
UMASK_L2_LD_S_PRE_ONLY          0x12
UMASK_L2_LD_E_PRE_ONLY          0x14
UMASK_L2_LD_M_PRE_ONLY          0x18
UMASK_L2_LD_ALL_PRE_ONLY          0x1F
UMASK_L2_LD_I_ALL          0x2F
UMASK_L2_LD_S_ALL          0x2F
UMASK_L2_LD_E_ALL          0x2F
UMASK_L2_LD_M_ALL          0x2F
UMASK_L2_LD_ALL_ALL          0x2F

EVENT_L2_ST                      0x2A
UMASK_L2_ST                      0x0F

EVENT_L2_LINES_IN                0x24
UMASK_L2_LINES_IN_I_EXCLUDE_PRE      0x01
UMASK_L2_LINES_IN_S_EXCLUDE_PRE      0x02
UMASK_L2_LINES_IN_E_EXCLUDE_PRE      0x04
UMASK_L2_LINES_IN_M_EXCLUDE_PRE      0x08
UMASK_L2_LINES_IN_ALL_EXCLUDE_PRE      0x0F
UMASK_L2_LINES_IN_I_PRE_ONLY          0x11
UMASK_L2_LINES_IN_S_PRE_ONLY          0x12
UMASK_L2_LINES_IN_E_PRE_ONLY          0x14
UMASK_L2_LINES_IN_M_PRE_ONLY          0x18
